symbol-id;symbol-en;symbol-fi;category
315;butter;voi;Ruoka maitotuotteet
316;butterfly;perhonen;Eläimet hämähäkit ja hyönteiset
317;butternut_squash;kurpitsa;Ruoka vihannekset ja salaatit
318;button;nappi;Vaatteet tarvikkeet
319;C;C;Aakkoset
320;c_-_lower_case;c;Aakkoset
321;cabbage;kaali;Ruoka vihannekset ja salaatit
322;cable_tv;kaapelitv;Tekniikka TV
323;cactus;kaktus;Kasvit ja puut
324;cafe;kahvila;Ruoka ruokailu
325;cafe_2;kahvila;Ruoka ruokailu
326;cage;häkki;Eläimet elinympäristö
327;cake;kakku;Ruoka viljatuotteet ja leivonta
328;cake_bar;keksi;Ruoka viljatuotteet ja leivonta
329;cake_case;muffinivuoka;Ruoka välineet
330;cake_cup_cake;kuppikakku;Ruoka viljatuotteet ja leivonta
331;cake_mix;kakkuainekset;Ruoka viljatuotteet ja leivonta
332;cake_slice;kakkupala;Ruoka viljatuotteet ja leivonta
333;cake_slice_2;kakkupala;Ruoka viljatuotteet ja leivonta
334;cake_sponge;sokerikakku;Ruoka viljatuotteet ja leivonta
335;cake_tin;kakkuvuoka;Ruoka välineet
336;calculator;laskin;Työ ja koulu
337;calendar;kalenteri;Työ ja koulu
338;calendar_month;kalenterikuukausi;Kuvaileva aika
339;calf;vasikka;Terveys kehonosat
340;camel;kameli;Eläimet nisäkkäät
341;camera;kamera;Tekniikka media
342;camera_compact;järjestelmäkamera;Tekniikka media
343;camera_SLR;kamera;Tekniikka media
344;can_opener;purkinavaaja;Ruoka välineet
345;can_opener_electric;purkinavaaja;Ruoka välineet
346;candle_2;kynttilä;Juhlat välineet
347;candy_cane;karkkikeppi;Ruoka pähkinät
348;candy_floss;hattara;Ruoka jälkiruuat ja herkut
349;candy_hearts;karkkisydämet;Ruoka jälkiruuat ja herkut
350;canoe;kanootti;Liikenne vesiliikenne
351;cap;lippalakki;Vaatteet muut
352;car;auto;Liikenne tieliikenne
353;car_2;auto;Liikenne tieliikenne
354;car_boot;tavaratila;Liikenne tieliikenne
355;car_bumper;puskuri;Liikenne tieliikenne
356;car_mechanic_1a;automekaanikko;Ihmiset ammatit
357;car_mechanic_1b;automekaanikko;Ihmiset ammatit
358;car_mechanic_2a;automekaanikko;Ihmiset ammatit
359;car_mechanic_2b;automekaanikko;Ihmiset ammatit
360;car_toy;leluauto;Vapaa-aika lelut
361;car_transporter;autonkuljetusauto;Liikenne tieliikenne
362;caravan;matkailuvaunu;Liikenne tieliikenne
363;carbohydrates;hiilihydraatit;Ruoka ruokavalio
364;card;kortti;Juhlat välineet
365;cardboard;pahvi;Työ ja koulu
366;care_assistant_1a;avustaja;Ihmiset ammatit
367;care_assistant_1b;avustaja;Ihmiset ammatit
368;care_assistant_2a;avustaja;Ihmiset ammatit
369;care_assistant_2b;avustaja;Ihmiset ammatit
370;care_assistant_3a;avustaja;Ihmiset ammatit
371;care_assistant_3b;avustaja;Ihmiset ammatit
372;care_assistant_4a;avustaja;Ihmiset ammatit
373;care_assistant_4b;avustaja;Ihmiset ammatit
374;care_assistant_5a;avustaja;Ihmiset ammatit
375;care_assistant_5b;avustaja;Ihmiset ammatit
376;care_assistant_6a;avustaja;Ihmiset ammatit
377;care_assistant_6b;avustaja;Ihmiset ammatit
378;caretaker_1a;ohjaaja;Ihmiset ammatit
379;caretaker_1b;ohjaaja;Ihmiset ammatit
380;caretaker_2a;ohjaaja;Ihmiset ammatit
381;caretaker_2b;ohjaaja;Ihmiset ammatit
382;carol_singer;kuorolaulaja;Uskonto henkilö
383;carpenter_1a;puuseppä;Ihmiset ammatit
384;carpenter_1b;puuseppä;Ihmiset ammatit
385;carpenter_2a;puuseppä;Ihmiset ammatit
386;carpenter_2b;puuseppä;Ihmiset ammatit
387;carrot;porkkana;Ruoka vihannekset ja salaatit
388;cart;kärry;Liikenne tieliikenne
389;carton_1;purkki;Juomat astiat ja määrät
390;carton_2;purkki;Juomat astiat ja määrät
391;cash_point;raha-automaatti;Talous
392;cashew;cashew;Ruoka pähkinät
393;casserole;pata;Ruoka välineet
394;casserole_1;vihannespata;Ruoka välineet
395;casserole_2;lihapata;Ruoka välineet
396;cassette_tape;kasetti;Tekniikka media
397;castle;linna;Rakennukset julkiset
398;castor_sugar;tomusokeri;Ruoka ainekset
399;cat;kissa;Eläimet nisäkkäät
400;cat_bed;kissanpeti;Eläimet elinympäristö
401;cat_biscuits;kissan keksit;Eläimet ruokinta
402;cat_food;kissanruoka;Eläimet ruokinta
403;caterpillar;toukka;Eläimet hämähäkit ja hyönteiset
404;catherine_wheel;viuhka;Juhlat välineet
405;cauliflower;kukkakaali;Ruoka vihannekset ja salaatit
406;cctv;valvontakamera;Tekniikka media
407;CD_player_personal;CD soitin;Tekniikka media
408;ceiling;katto;Rakennukset rakenne
409;ceiling_light;kattolamppu;Rakennukset rakenne
410;celebrate_2_,_to;juhlia;Juhlat tapahtumat
411;celebrate_3_,_to;juhlia;Juhlat tapahtumat
412;celebrate_birthday;juhlia syntymäpäivää;Juhlat tapahtumat
413;celebration;juhlat;Juhlat tapahtumat
414;celeriac;selleri;Ruoka vihannekset ja salaatit
415;celery;lehtiselleri;Ruoka vihannekset ja salaatit
416;cement_mixer;betonimylly;Työkalut työpaja
417;centipede;tuhatjalkainen;Eläimet hämähäkit ja hyönteiset
418;cereal;aamiaismurot;Ruoka viljatuotteet ja leivonta
419;cereal_bowl;murokulho;Ruoka välineet
420;cereal_box_bran;murolaatikko;Ruoka viljatuotteet ja leivonta
421;cereal_box_museli;myslilaatikko;Ruoka viljatuotteet ja leivonta
422;cereal_bran;murot;Ruoka viljatuotteet ja leivonta
423;cereal_museli;mysli;Ruoka viljatuotteet ja leivonta
424;certificate;todistus;Työ ja koulu
425;chair;tuoli;Rakennukset huonekalut
426;chair_computer;toimistotuoli;Rakennukset huonekalut
427;chair_dining;ruokatuoli;Rakennukset huonekalut
428;chair_wing_back;nojatuoli;Rakennukset huonekalut
429;chaise_lounge;rahi;Rakennukset huonekalut
430;chalk;liitutaulu;Työ ja koulu
431;chameleon;kameleontti;Eläimet matelijat
432;champagne;samppanja;Juomat
433;chandelier;kattokruunu;Rakennukset tarvikkeet
434;change_nappy_,_to;vaihtaa vaippa;Terveys hoitotoimet
435;change_tv_channel_,_to;vaihtaa kanava;Tekniikka TV
436;channel_bbc_1;tv kanava;Tekniikka TV
437;chapatti;chapati;Ruoka viljatuotteet ja leivonta
438;charge;varaus;Tekniikka muut
439;charger_electric;laturi;Tekniikka puhelin
440;cheek;poski;Terveys kehonosat
441;cheese;juusto;Ruoka maitotuotteet
442;cheese_brie;brie-juusto;Ruoka maitotuotteet
443;cheese_burger;juustohampurilainen;Ruoka annokset
444;cheese_grated;juustoraaste;Ruoka maitotuotteet
445;cheese_on_toast_,_melted;juustoleipä;Ruoka annokset
446;cheese_slices;viipalejuusto;Ruoka maitotuotteet
447;cheese_stilton;homejuusto;Ruoka maitotuotteet
448;cheetah;gebardi;Eläimet nisäkkäät
449;cheque_book;sekkivihko;Talous
450;cherry;kirsikka;Ruoka hedelmät
